id,web_name,first_name,second_name,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,form,selected_by_percent,transfers_in,transfers_out,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,price_M,position,pts_per_million,team_name,team_short
774,Jenson Jones,Jenson,Jones,17,2,40,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1521,857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,4.0,DEF,0.0,Sunderland,SUN
775,Tutierov,Tymur,Tutierov,17,3,45,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,160,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Exeter City on loan for the rest of the season.,0.0,4.5,MID,0.0,Sunderland,SUN
800,Jocelin.T,Djiamgone Jocelin Ta,Bi,17,3,50,1,1.0,38,0,0,0,0,0,0,0,4,0.2,0.0,140,103,0.0,0.04,0.04,0.24,3.4,4.3,2.0,1.0,i,Ankle injury - Expected back 22 Mar,0.0,5.0,MID,0.2,Sunderland,SUN
812,Ellborg,Melker,Ellborg,17,1,40,10,10.0,90,0,0,1,0,0,0,3,32,2.5,0.1,6982,391,0.0,0.0,0.0,1.15,25.6,0.0,0.0,2.6,a,,,4.0,GKP,2.5,Sunderland,SUN
813,Angulo,Nilson,Angulo,17,3,50,9,1.8,254,0,0,1,4,0,0,0,27,2.0,0.0,879,343,0.49,0.08,0.57,5.65,36.2,28.3,62.0,12.6,a,,,5.0,MID,1.8,Sunderland,SUN
565,Vicario,Guglielmo,Vicario,18,1,47,85,2.9,2610,0,0,7,46,1,0,6,392,1.0,5.6,1351794,1410462,0.0,0.02,0.02,43.03,651.6,0.1,0.0,65.4,a,,,4.7,GKP,18.085106382978722,Spurs,TOT
566,Austin,Brandon,Austin,18,1,39,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.3,21024,24474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,3.9,GKP,0.0,Spurs,TOT
567,Kinsky,Antonín,Kinský,18,1,39,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.6,126212,176088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,3.9,GKP,0.0,Spurs,TOT
568,Pedro Porro,Pedro,Porro Sauceda,18,2,51,80,3.2,1983,0,3,7,29,6,0,4,348,0.2,9.2,1474977,3025719,0.56,2.9,3.46,29.02,445.0,554.1,94.0,109.5,a,,100.0,5.1,DEF,15.686274509803923,Spurs,TOT
569,Romero,Cristian,Romero,18,2,50,89,4.2,1710,4,1,5,29,8,2,10,288,0.0,3.1,1018268,1203155,1.33,1.2,2.53,25.77,543.2,110.8,206.0,86.0,d,Head injury - 75% chance of playing,75.0,5.0,DEF,17.8,Spurs,TOT
570,Danso,Kevin,Danso,18,2,42,31,2.1,749,0,0,2,15,4,0,1,119,1.0,0.1,17341,30796,0.19,0.19,0.38,12.49,220.8,10.4,33.0,26.5,a,,100.0,4.2,DEF,7.3809523809523805,Spurs,TOT
571,Davies,Ben,Davies,18,2,43,10,3.3,136,1,0,0,3,1,0,1,29,0.0,0.1,4415,11989,0.49,0.07,0.56,1.11,67.4,22.2,52.0,14.2,i,Ankle injury - Unknown return date,0.0,4.3,DEF,2.3255813953488373,Spurs,TOT
